MachineID,AlternativeID
__export__.mrp_workcenter_56_d6637dea,__export__.mrp_workcenter_57_6faf5319
__export__.mrp_workcenter_55_15609e22,__export__.mrp_workcenter_60_6593b576
__export__.mrp_workcenter_62_468a38e5,__export__.mrp_workcenter_61_bcb50df3
__export__.mrp_workcenter_62_468a38e5,4
__export__.mrp_workcenter_57_6faf5319,__export__.mrp_workcenter_56_d6637dea
__export__.mrp_workcenter_61_bcb50df3,__export__.mrp_workcenter_62_468a38e5
__export__.mrp_workcenter_61_bcb50df3,4
__export__.mrp_workcenter_60_6593b576,__export__.mrp_workcenter_61_bcb50df3
__export__.mrp_workcenter_60_6593b576,__export__.mrp_workcenter_62_468a38e5
__export__.mrp_workcenter_60_6593b576,4
4,__export__.mrp_workcenter_61_bcb50df3
4,__export__.mrp_workcenter_62_468a38e5
